mes_objetivo,cod_filial,pais,canal,segmento,rank_segmento,sku,marca,atc1,tipo_venta,ciclo_vida,precio_lista_usd,descuento_pct,precio_neto,margen_unitario,elasticidad,nivel_estimacion,indice_estacional,aporte_margen_pct,dias_cobertura,unidades_por_vencer,demanda_esperada,prob_aceptacion,riesgo_devolucion,margen_esperado_usd,valor_rescate_usd,objetivo,objetivo_sin_oferta,ganancia_vs_sin_oferta_usd,en_borde_de_soporte,justificativo,id_filial,id_producto
2026-01,CL,Chile,Farmacia Independiente,B,1.0,ADM-0088,Adium K088,M,Ético (Rx),Madurez,57.9,0.22,45.16,34.33,-1.967,Producto,0.95,0.01548,28.3,0.0,36.0,0.8636,0.0969,1055.35,0.0,953.14,952.86,0.28,1,"Atención: la cobertura es de solo 28 días — ofertar acá puede provocar quiebre de stock; elasticidad estimada -1.97 (nivel producto), con margen unitario de usd 34.33 (76% sobre precio neto); probabilidad de aceptación estimada 86%; riesgo de devolución controlado (10%). El 22% maximiza el margen esperado neto: USD 953 contra USD 953 sin oferta (+USD 0). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",3,88
2026-01,CL,Chile,Farmacia Independiente,C,1.0,ADM-0099,Adium V099,A,OTC,Madurez,10.55,0.22,8.23,3.18,-2.788,Producto,1.02,0.00383,15.7,0.0,9.0,0.893,0.1009,24.59,0.0,22.11,22.02,0.08,1,"Atención: la cobertura es de solo 16 días — ofertar acá puede provocar quiebre de stock; elasticidad estimada -2.79 (nivel producto), con margen unitario de usd 3.18 (39% sobre precio neto); probabilidad de aceptación estimada 89%; riesgo de devolución controlado (10%). El 22% maximiza el margen esperado neto: USD 22 contra USD 22 sin oferta (+USD 0). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",3,99
2026-01,CL,Chile,Institucional,C,1.0,ADM-0088,Adium K088,M,Ético (Rx),Madurez,57.9,0.22,45.16,34.33,-1.967,Producto,0.95,0.01548,28.3,0.0,45.0,0.8732,0.0969,1360.33,0.0,1228.58,1214.71,13.87,1,"Atención: la cobertura es de solo 28 días — ofertar acá puede provocar quiebre de stock; elasticidad estimada -1.97 (nivel producto), con margen unitario de usd 34.33 (76% sobre precio neto); probabilidad de aceptación estimada 87%; riesgo de devolución controlado (10%). El 22% maximiza el margen esperado neto: USD 1,229 contra USD 1,215 sin oferta (+USD 14). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",3,88
2026-01,CL,Chile,Institucional,C,2.0,ADM-0099,Adium V099,A,OTC,Madurez,10.55,0.22,8.23,3.18,-2.788,Producto,1.02,0.00383,15.7,0.0,30.0,0.893,0.1009,86.07,0.0,77.38,77.09,0.29,1,"Atención: la cobertura es de solo 16 días — ofertar acá puede provocar quiebre de stock; elasticidad estimada -2.79 (nivel producto), con margen unitario de usd 3.18 (39% sobre precio neto); probabilidad de aceptación estimada 89%; riesgo de devolución controlado (10%). El 22% maximiza el margen esperado neto: USD 77 contra USD 77 sin oferta (+USD 0). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",3,99
2026-01,CO,Colombia,Distribuidor,A,1.0,ADM-0043,Adium R043,A,Ético (Rx),Madurez,8.68,0.22,6.77,2.85,-0.983,Producto,1.02,0.00891,82.0,2517.0,434.0,0.7481,0.4889,926.45,1274.1,1747.65,1264.86,482.8,1,"2,517 unidades vencen en menos de 180 días (usd 1,274 rescatables); elasticidad estimada -0.98 (nivel producto), con margen unitario de usd 2.85 (42% sobre precio neto); probabilidad de aceptación estimada 75%; riesgo de devolución alto (49%): condicionar la oferta a que el cliente no supere su cobertura objetivo. El 22% maximiza el margen esperado neto: USD 1,748 contra USD 1,265 sin oferta (+USD 483). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",6,43
2026-01,CO,Colombia,Distribuidor,A,2.0,ADM-0114,Adium K114,C,Ético (Rx),Crecimiento,22.27,0.22,17.37,10.33,-2.882,Producto,1.0,0.00805,53.8,0.0,130.0,0.7481,0.1086,1001.46,0.0,892.75,885.84,6.91,1,"Elasticidad estimada -2.88 (nivel producto), con margen unitario de usd 10.33 (59% sobre precio neto); probabilidad de aceptación estimada 75%; riesgo de devolución controlado (11%). El 22% maximiza el margen esperado neto: USD 893 contra USD 886 sin oferta (+USD 7). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",6,114
2026-01,CO,Colombia,Distribuidor,A,3.0,ADM-0012,Adium M012,C,Ético (Rx),Madurez,5.66,0.2,4.53,0.74,-1.821,Producto,1.0,0.00117,79.0,484.0,250.0,0.7075,0.1061,130.79,671.65,788.56,286.52,502.04,0,"484 unidades vencen en menos de 180 días (usd 672 rescatables); elasticidad estimada -1.82 (nivel producto), con margen unitario de usd 0.74 (16% sobre precio neto); probabilidad de aceptación estimada 71%; riesgo de devolución controlado (11%). El 20% maximiza el margen esperado neto: USD 789 contra USD 287 sin oferta (+USD 502).",6,12
2026-01,CO,Colombia,Distribuidor,A,4.0,ADM-0078,Adium A078,J,Ético (Rx),Madurez,14.21,0.22,11.08,6.72,-1.177,Producto,0.85,0.0044,73.0,52.0,78.0,0.6313,0.3078,329.82,213.87,442.17,439.08,3.09,1,"Está fuera de temporada (índice 0.85), por eso el descuento compensa la menor demanda natural; 52 unidades vencen en menos de 180 días (usd 214 rescatables); elasticidad estimada -1.18 (nivel producto), con margen unitario de usd 6.72 (61% sobre precio neto); probabilidad de aceptación estimada 63%; riesgo de devolución alto (31%): condicionar la oferta a que el cliente no supere su cobertura objetivo. El 22% maximiza el margen esperado neto: USD 442 contra USD 439 sin oferta (+USD 3). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",6,78
2026-01,CO,Colombia,Distribuidor,B,1.0,ADM-0114,Adium K114,C,Ético (Rx),Crecimiento,22.27,0.22,17.37,10.33,-2.882,Producto,1.0,0.00805,53.8,0.0,303.0,0.7481,0.1086,2342.88,0.0,2088.55,2072.4,16.16,1,"Elasticidad estimada -2.88 (nivel producto), con margen unitario de usd 10.33 (59% sobre precio neto); probabilidad de aceptación estimada 75%; riesgo de devolución controlado (11%). El 22% maximiza el margen esperado neto: USD 2,089 contra USD 2,072 sin oferta (+USD 16). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",6,114
2026-01,CO,Colombia,Distribuidor,B,2.0,ADM-0043,Adium R043,A,Ético (Rx),Madurez,8.68,0.22,6.77,2.85,-0.983,Producto,1.02,0.00891,82.0,2517.0,416.0,0.7075,0.4889,839.26,1154.19,1583.17,1211.59,371.59,1,"2,517 unidades vencen en menos de 180 días (usd 1,154 rescatables); elasticidad estimada -0.98 (nivel producto), con margen unitario de usd 2.85 (42% sobre precio neto); probabilidad de aceptación estimada 71%; riesgo de devolución alto (49%): condicionar la oferta a que el cliente no supere su cobertura objetivo. El 22% maximiza el margen esperado neto: USD 1,583 contra USD 1,212 sin oferta (+USD 372). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",6,43
2026-01,CO,Colombia,Distribuidor,B,3.0,ADM-0012,Adium M012,C,Ético (Rx),Madurez,5.66,0.2,4.53,0.74,-1.821,Producto,1.0,0.00117,79.0,484.0,267.0,0.6868,0.1061,135.47,695.69,816.78,305.7,511.08,0,"484 unidades vencen en menos de 180 días (usd 696 rescatables); elasticidad estimada -1.82 (nivel producto), con margen unitario de usd 0.74 (16% sobre precio neto); probabilidad de aceptación estimada 69%; riesgo de devolución controlado (11%). El 20% maximiza el margen esperado neto: USD 817 contra USD 306 sin oferta (+USD 511).",6,12
2026-01,CO,Colombia,Distribuidor,B,4.0,ADM-0075,Adium X075,N,Ético (Rx),Madurez,6.11,0.22,4.77,1.99,-1.124,Producto,1.05,0.00043,74.6,115.0,65.0,0.7075,0.5334,91.32,127.84,170.45,124.56,45.89,1,"115 unidades vencen en menos de 180 días (usd 128 rescatables); elasticidad estimada -1.12 (nivel producto), con margen unitario de usd 1.99 (42% sobre precio neto); probabilidad de aceptación estimada 71%; riesgo de devolución alto (53%): condicionar la oferta a que el cliente no supere su cobertura objetivo. El 22% maximiza el margen esperado neto: USD 170 contra USD 125 sin oferta (+USD 46). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",6,75
2026-01,CO,Colombia,Distribuidor,C,1.0,ADM-0012,Adium M012,C,Ético (Rx),Madurez,5.66,0.2,4.53,0.74,-1.821,Producto,1.0,0.00117,79.0,484.0,265.0,0.8043,0.1061,157.45,808.58,949.32,303.41,645.92,0,"484 unidades vencen en menos de 180 días (usd 809 rescatables); elasticidad estimada -1.82 (nivel producto), con margen unitario de usd 0.74 (16% sobre precio neto); probabilidad de aceptación estimada 80%; riesgo de devolución controlado (11%). El 20% maximiza el margen esperado neto: USD 949 contra USD 303 sin oferta (+USD 646).",6,12
2026-01,CO,Colombia,Distribuidor,C,2.0,ADM-0114,Adium K114,C,Ético (Rx),Crecimiento,22.27,0.22,17.37,10.33,-2.882,Producto,1.0,0.00805,53.8,0.0,65.0,0.8043,0.1086,541.19,0.0,482.44,445.25,37.19,1,"Elasticidad estimada -2.88 (nivel producto), con margen unitario de usd 10.33 (59% sobre precio neto); probabilidad de aceptación estimada 80%; riesgo de devolución controlado (11%). El 22% maximiza el margen esperado neto: USD 482 contra USD 445 sin oferta (+USD 37). NOTA: el óptimo cae en el borde del rango de descuentos con evidencia histórica. El modelo NO extrapola más allá — si se quiere explorar un descuento mayor, corresponde un test controlado sobre un subconjunto de clientes antes de generalizar.",6,114
